Date,2014/4/25 15:20
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/25 15:24
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/25 15:25
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/25 15:35
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
1,5,14,1,B,TRUE,1!,1,0.42268,0.5,1.4751,508.9095,652.9344,678.9344,679.4344,21  41
1,5,15,1,Q,FALSE,2@,1,0.29922,0.49999,1.4751,508.9095,652.9344,680.9344,681.4344,22  41
1,6,1,2,R,FALSE,2@,1,0.609,0.50001,1.4751,508.9095,685.9344,685.9344,686.4344,22  41
1,6,2,2,N,FALSE,,-1,0,0.5,1.4751,508.9095,685.9344,687.9344,688.4344,22  43
1,6,3,2,R,TRUE,1!,1,0.37344,0.5,1.4751,508.9095,685.9344,689.9344,690.4344,21  41
1,6,4,2,V,FALSE,2@,1,0.45256,0.49999,1.4751,508.9095,685.9344,691.9344,692.4344,22  41
1,6,5,2,W,FALSE,,-1,0,0.5,1.4751,508.9095,685.9344,693.9344,694.4344,22  43
1,6,6,2,V,TRUE,1!,1,0.47137,0.50001,1.4751,508.9095,685.9344,695.9344,696.4344,21  41
1,6,7,2,P,FALSE,2@,1,0.26821,0.5,1.4751,508.9095,685.9344,697.9344,698.4344,22  41
1,6,8,2,G,FALSE,2@,1,0.26055,0.5,1.4751,508.9095,685.9344,699.9344,700.4344,22  41
1,6,9,2,P,TRUE,1!,1,0.82988,0.5,1.4751,508.9095,685.9344,701.9344,702.4344,21  41
1,6,10,2,J,FALSE,2@,1,0.54538,0.5,1.4751,508.9095,685.9344,703.9344,704.4344,22  41
1,6,11,2,T,FALSE,2@,1,0.32173,0.5,1.4751,508.9095,685.9344,705.9344,706.4344,22  41
1,6,12,2,J,TRUE,,-1,0,0.5,1.4751,508.9095,685.9344,707.9344,708.4344,21  43
1,6,13,2,M,FALSE,,-1,0,0.5,1.4751,508.9095,685.9344,709.9344,710.4344,22  43
1,6,14,2,Q,FALSE,2@,1,0.23283,0.5,1.4751,508.9095,685.9344,711.9344,712.4344,22  41
1,6,15,2,M,TRUE,1!,1,0.70124,0.49999,1.4751,508.9095,685.9344,713.9344,714.4344,21  41
1,7,1,0,S,FALSE,2@,1,0.4755,0.5,1.4751,508.9095,718.9344,718.9344,719.4344,22  41
1,7,2,0,X,TRUE,1!,1,0.47597,0.49999,1.4751,508.9095,718.9344,720.9344,721.4344,21  41
1,7,3,0,B,FALSE,2@,1,0.32005,0.50001,1.4751,508.9095,718.9344,722.9344,723.4344,22  41
1,7,4,0,X,TRUE,,-1,0,0.49999,1.4751,508.9095,718.9344,724.9344,725.4344,21  43
1,7,5,0,H,FALSE,2@,1,0.37119,0.5,1.4751,508.9095,718.9344,726.9344,727.4344,22  41
1,7,6,0,N,FALSE,2@,1,0.37038,0.50001,1.4751,508.9095,718.9344,728.9344,729.4344,22  41
1,7,7,0,C,FALSE,2@,1,0.32402,0.5,1.4751,508.9095,718.9344,730.9344,731.4344,22  41
1,7,8,0,X,TRUE,1!,1,0.4252,0.5,1.4751,508.9095,718.9344,732.9344,733.4344,21  41
1,7,9,0,D,FALSE,2@,1,0.30385,0.5,1.4751,508.9095,718.9344,734.9344,735.4344,22  41
1,7,10,0,S,FALSE,2@,1,0.37296,0.5,1.4751,508.9095,718.9344,736.9344,737.4344,22  41
1,7,11,0,X,TRUE,,-1,0,0.49999,1.4751,508.9095,718.9344,738.9344,739.4344,21  43
1,7,12,0,G,FALSE,,-1,0,0.5,1.4751,508.9095,718.9344,740.9344,741.4344,22  43
1,7,13,0,T,FALSE,2@,1,0.33138,0.50001,1.4751,508.9095,718.9344,742.9344,743.4344,22  41
1,7,14,0,X,TRUE,1!,1,0.39567,0.49999,1.4751,508.9095,718.9344,744.9344,745.4344,21  41
1,7,15,0,Z,FALSE,2@,1,0.31686,0.49999,1.4751,508.9095,718.9344,746.9344,747.4344,22  41
1,8,0,3,REST,0,,0,0,0,0,508.9095,751.9344,0,0,50
1,9,1,2,Q,FALSE,2@,1,0.43918,0.49999,1.4751,508.9095,784.9344,784.9344,785.4344,22  41
1,9,2,2,G,FALSE,2@,1,0.38608,0.49999,1.4751,508.9095,784.9344,786.9344,787.4344,22  41
1,9,3,2,Q,TRUE,,-1,0,0.5,1.4751,508.9095,784.9344,788.9344,789.4344,21  43
1,9,4,2,G,TRUE,,-1,0,0.5,1.4751,508.9095,784.9344,790.9344,791.4344,21  43
1,9,5,2,Z,FALSE,2@,1,0.25264,0.5,1.4751,508.9095,784.9344,792.9344,793.4344,22  41
1,9,6,2,F,FALSE,2@,1,0.4639,0.5,1.4751,508.9095,784.9344,794.9344,795.4344,22  41
1,9,7,2,Z,TRUE,2@,0,0.37631,0.5,1.4751,508.9095,784.9344,796.9344,797.4344,21  42
1,9,8,2,D,FALSE,,-1,0,0.5,1.4751,508.9095,784.9344,798.9344,799.4344,22  43
1,9,9,2,G,FALSE,2@,1,0.33583,0.50001,1.4751,508.9095,784.9344,800.9344,801.4344,22  41
1,9,10,2,T,FALSE,2@,1,0.56913,0.5,1.4751,508.9095,784.9344,802.9344,803.4344,22  41
1,9,11,2,K,FALSE,2@,1,0.35239,0.50001,1.4751,508.9095,784.9344,804.9344,805.4344,22  41
1,9,12,2,T,TRUE,2@,0,0.34513,0.5,1.4751,508.9095,784.9344,806.9344,807.4344,21  42
1,9,13,2,K,TRUE,2@,0,0.2893,0.49999,1.4751,508.9095,784.9344,808.9344,809.4344,21  42
1,9,14,2,G,FALSE,,-1,0,0.5,1.4751,508.9095,784.9344,810.9344,811.4344,22  43
1,9,15,2,L,FALSE,2@,1,0.5686,0.46666,1.4751,508.9095,784.9344,812.9677,813.4344,22  41
1,10,1,0,D,FALSE,2@,1,0.57682,0.5,1.4751,508.9095,817.9344,817.9344,818.4344,22  41
1,10,2,0,T,FALSE,2@,1,0.54026,0.50001,1.4751,508.9095,817.9344,819.9344,820.4344,22  41
1,10,3,0,X,TRUE,,-1,0,0.50001,1.4751,508.9095,817.9344,821.9344,822.4344,21  43
1,10,4,0,L,FALSE,2@,1,0.25402,0.49999,1.4751,508.9095,817.9344,823.9344,824.4344,22  41
1,10,5,0,F,FALSE,2@,1,0.33251,0.49999,1.4751,508.9095,817.9344,825.9344,826.4344,22  41
1,10,6,0,X,TRUE,1!,1,0.43776,0.50001,1.4751,508.9095,817.9344,827.9344,828.4344,21  41
1,10,7,0,Z,FALSE,2@,1,0.27169,0.49999,1.4751,508.9095,817.9344,829.9344,830.4344,22  41
1,10,8,0,X,TRUE,2@,0,0.24472,0.5,1.4751,508.9095,817.9344,831.9344,832.4344,21  42
1,10,9,0,D,FALSE,2@,1,0.24403,0.5,1.4751,508.9095,817.9344,833.9344,834.4344,22  41
1,10,10,0,Z,FALSE,2@,1,0.49141,0.5,1.4751,508.9095,817.9344,835.9344,836.4344,22  41
