Date,2014/4/22 17:55
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/22 17:57
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/22 17:58
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
4,1,12,1,C,FALSE,6^,0,1.5992,0.50083,1.4726,34572.509,34577.5327,34599.5355,34600.0364,22  42
4,1,13,1,F,FALSE,6^,0,0.9083,0.50084,1.4693,34572.509,34577.5327,34601.5388,34602.0397,22  42
4,1,14,1,F,TRUE,6^,1,0.59459,0.51752,1.466,34572.509,34577.5327,34603.5254,34604.0429,21  41
4,1,15,1,P,FALSE,7&,1,1.2382,0.50081,1.4794,34572.509,34577.5327,34605.5287,34606.0295,22  41
5,1,1,2,R,FALSE,,-1,0,0.50083,1.4682,34609.9132,34614.9442,34614.9442,34615.445,22  43
5,1,2,2,N,FALSE,,-1,0,0.51753,1.4649,34609.9132,34614.9442,34616.9308,34617.4483,22  43
5,1,3,2,K,FALSE,7&,1,0.80158,0.50082,1.4783,34609.9132,34614.9442,34618.9341,34619.4349,22  41
5,1,4,2,V,FALSE,,-1,0,0.50083,1.475,34609.9132,34614.9442,34620.9374,34621.4382,22  43
5,1,5,2,W,FALSE,6^,0,1.8487,0.21704,1.4717,34609.9132,34614.9442,34623.2244,34623.4415,22  42
5,1,6,2,V,TRUE,6^,1,0.0033033,0.35059,1.4684,34609.9132,34614.9442,34625.0942,34625.4448,21  41
5,1,7,2,P,FALSE,,-1,0,0.50083,1.4818,34609.9132,34614.9442,34626.9305,34627.4314,22  43
5,1,8,2,G,FALSE,,-1,0,0.016694,1.0779,34609.9132,34614.9442,34629.8186,34629.8353,22  43
5,1,9,2,P,TRUE,,-1,0,0.016696,1.108,34609.9132,34614.9442,34631.7885,34631.8052,21  43
5,1,10,2,J,FALSE,,-1,0,0.016698,1.1381,34609.9132,34614.9442,34633.7584,34633.7751,22  43
5,1,11,2,T,FALSE,7&,1,0.36752,0.016691,1.1682,34609.9132,34614.9442,34635.7283,34635.745,22  41
5,1,12,2,J,TRUE,,-1,0,0.51752,1.4654,34609.9132,34614.9442,34636.9303,34637.4478,21  43
5,1,13,2,M,FALSE,,-1,0,0.50082,1.4788,34609.9132,34614.9442,34638.9336,34639.4344,22  43
5,1,14,2,J,TRUE,7&,0,0.43,0.50082,1.4755,34609.9132,34614.9442,34640.9369,34641.4377,21  42
5,1,15,2,M,TRUE,,-1,0,0.50083,1.4722,34609.9132,34614.9442,34642.9402,34643.441,21  43
6,1,1,0,H,FALSE,6^,0,0.81252,0.50081,1.4721,34648.831,34653.8581,34653.8581,34654.3589,22  42
6,1,2,0,X,TRUE,7&,0,0.9382,0.50082,1.4688,34648.831,34653.8581,34655.8614,34656.3622,21  42
6,1,3,0,P,FALSE,6^,0,0.97763,0.51752,1.4655,34648.831,34653.8581,34657.848,34658.3655,22  42
6,1,4,0,Z,FALSE,7&,1,1.0057,0.50081,1.4789,34648.831,34653.8581,34659.8513,34660.3521,22  41
6,1,5,0,J,FALSE,7&,1,1.1469,0.50082,1.4756,34648.831,34653.8581,34661.8546,34662.3554,22  41
6,1,6,0,X,TRUE,6^,1,0.52693,0.50083,1.4723,34648.831,34653.8581,34663.8578,34664.3587,21  41
6,1,7,0,D,FALSE,7&,1,0.59646,0.50083,1.4691,34648.831,34653.8581,34665.8611,34666.362,22  41
6,1,8,0,X,TRUE,7&,0,0.65601,0.51752,1.4658,34648.831,34653.8581,34667.8477,34668.3652,21  42
6,1,9,0,P,FALSE,7&,1,0.61296,0.50083,1.4792,34648.831,34653.8581,34669.851,34670.3518,22  41
6,1,10,0,H,FALSE,7&,1,0.61676,0.50081,1.4759,34648.831,34653.8581,34671.8543,34672.3551,22  41
6,1,11,0,D,FALSE,7&,1,0.62302,0.50083,1.4726,34648.831,34653.8581,34673.8576,34674.3584,22  41
6,1,12,0,X,TRUE,7&,0,0.69187,0.50082,1.4693,34648.831,34653.8581,34675.8609,34676.3617,21  42
6,1,13,0,L,FALSE,7&,1,0.53795,0.51752,1.466,34648.831,34653.8581,34677.8475,34678.365,22  41
6,1,14,0,X,TRUE,7&,0,0.44485,0.50082,1.4794,34648.831,34653.8581,34679.8508,34680.3516,21  42
6,1,15,0,M,FALSE,7&,1,0.42537,0.50083,1.4761,34648.831,34653.8581,34681.8541,34682.3549,22  41
7,1,1,1,Z,FALSE,,-1,0,0.50083,1.4754,34682.3727,34687.3965,34687.3965,34687.8973,22  43
7,1,2,1,Z,TRUE,7&,0,1.1372,0.50082,1.4721,34682.3727,34687.3965,34689.3998,34689.9006,21  42
7,1,3,1,L,FALSE,7&,1,1.0292,0.50082,1.4688,34682.3727,34687.3965,34691.4031,34691.9039,22  41
7,1,4,1,G,FALSE,7&,1,0.72101,0.50083,1.4822,34682.3727,34687.3965,34693.3897,34693.8905,22  41
7,1,5,1,Q,FALSE,7&,1,0.45371,0.50081,1.4789,34682.3727,34687.3965,34695.393,34695.8938,22  41
7,1,6,1,Q,TRUE,7&,0,0.70798,0.50082,1.4756,34682.3727,34687.3965,34697.3963,34697.8971,21  42
7,1,7,1,R,FALSE,6^,0,1.1111,0.50084,1.4723,34682.3727,34687.3965,34699.3995,34699.9004,22  42
7,1,8,1,D,FALSE,7&,1,0.37404,0.50082,1.4691,34682.3727,34687.3965,34701.4028,34701.9037,22  41
7,1,9,1,V,FALSE,7&,1,0.40297,0.50082,1.4825,34682.3727,34687.3965,34703.3894,34703.8903,22  41
7,1,10,1,V,TRUE,7&,0,0.24043,0.50082,1.4792,34682.3727,34687.3965,34705.3927,34705.8936,21  42
7,1,11,1,R,FALSE,7&,1,0.37868,0.50082,1.4759,34682.3727,34687.3965,34707.396,34707.8968,22  41
7,1,12,1,R,TRUE,7&,0,0.57653,0.50082,1.4726,34682.3727,34687.3965,34709.3993,34709.9001,21  42
7,1,13,1,H,FALSE,7&,1,0.84434,0.50082,1.4693,34682.3727,34687.3965,34711.4026,34711.9034,22  41
7,1,14,1,H,TRUE,6^,1,0.60339,0.51752,1.466,34682.3727,34687.3965,34713.3892,34713.9067,21  41
7,1,15,1,M,FALSE,7&,1,0.67262,0.50083,1.4794,34682.3727,34687.3965,34715.3925,34715.8933,22  41
8,1,1,0,D,FALSE,6^,0,0.98433,0.50081,1.4755,34716.0949,34721.1186,34721.1186,34721.6194,22  42
8,1,2,0,T,FALSE,,-1,0,0.50081,1.4722,34716.0949,34721.1186,34723.1219,34723.6227,22  43
8,1,3,0,X,TRUE,,-1,0,0.50082,1.4689,34716.0949,34721.1186,34725.1251,34725.626,21  43
8,1,4,0,L,FALSE,
Date,2014/4/22 18:7
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
1,1,1,0,K,FALSE,7&,1,0.74053,0.50083,1.4709,34875.5355,34880.5638,34880.5638,34881.0646,22  41
1,1,2,0,J,FALSE,6^,0,0.50408,0.50084,1.4676,34875.5355,34880.5638,34882.567,34883.0679,22  42
1,1,3,0,X,TRUE,6^,1,0.74224,0.50083,1.481,34875.5355,34880.5638,34884.5536,34885.0545,21  41
1,1,4,0,G,FALSE,7&,1,0.58072,0.50081,1.4778,34875.5355,34880.5638,34886.5569,34887.0578,22  41
1,1,5,0,X,TRUE,6^,1,0.87225,0.50083,1.4745,34875.5355,34880.5638,34888.5602,34889.0611,21  41
1,1,6,0,R,FALSE,7&,1,0.50135,0.50082,1.4712,34875.5355,34880.5638,34890.5635,34891.0643,22  41
1,1,7,0,S,FALSE,7&,1,0.68846,0.50082,1.4679,34875.5355,34880.5638,34892.5668,34893.0676,22  41
1,1,8,0,X,TRUE,6^,1,0.7656,0.51753,1.4646,34875.5355,34880.5638,34894.5534,34895.0709,21  41
1,1,9,0,M,FALSE,7&,1,0.48478,0.50083,1.478,34875.5355,34880.5638,34896.5567,34897.0575,22  41
1,1,10,0,N,FALSE,7&,1,0.67919,0.50084,1.4747,34875.5355,34880.5638,34898.56,34899.0608,22  41
1,1,11,0,L,FALSE,7&,1,0.56352,0.50083,1.4714,34875.5355,34880.5638,34900.5633,34901.0641,22  41
1,1,12,0,X,TRUE,6^,1,0.44074,0.50081,1.4681,34875.5355,34880.5638,34902.5666,34903.0674,21  41
1,1,13,0,P,FALSE,7&,1,0.5437,0.5175,1.4648,34875.5355,34880.5638,34904.5532,34905.0707,22  41
1,1,14,0,X,TRUE,6^,1,0.50697,0.50082,1.4782,34875.5355,34880.5638,34906.5564,34907.0573,21  41
1,1,15,0,Q,FALSE,7&,1,0.35996,0.50082,1.475,34875.5355,34880.5638,34908.5597,34909.0606,22  41
2,1,1,1,S,FALSE,6^,0,1.2979,0.50082,1.4669,34910.6392,34915.6714,34915.6714,34916.1722,22  42
2,1,2,1,Z,FALSE,7&,1,1.2059,0.50083,1.4803,34910.6392,34915.6714,34917.658,34918.1588,22  41
2,1,3,1,Z,TRUE,6^,1,0.7803,0.50081,1.4771,34910.6392,34915.6714,34919.6613,34920.1621,21  41
2,1,4,1,L,FALSE,7&,1,1.031,0.50082,1.4738,34910.6392,34915.6714,34921.6646,34922.1654,22  41
2,1,5,1,G,FALSE,7&,1,0.87602,0.50081,1.4705,34910.6392,34915.6714,34923.6679,34924.1687,22  41
2,1,6,1,Q,FALSE,7&,1,0.68767,0.50082,1.4672,34910.6392,34915.6714,34925.6712,34926.172,22  41
2,1,7,1,Q,TRUE,6^,1,0.7092,0.50081,1.4806,34910.6392,34915.6714,34927.6578,34928.1586,21  41
2,1,8,1,R,FALSE,7&,1,0.45771,0.50081,1.4773,34910.6392,34915.6714,34929.6611,34930.1619,22  41
2,1,9,1,D,FALSE,7&,1,0.47241,0.50083,1.474,34910.6392,34915.6714,34931.6643,34932.1652,22  41
2,1,10,1,V,FALSE,7&,1,0.50139,0.50083,1.4707,34910.6392,34915.6714,34933.6676,34934.1685,22  41
2,1,11,1,V,TRUE,6^,1,0.59332,0.50082,1.4674,34910.6392,34915.6714,34935.6709,34936.1718,21  41
2,1,12,1,R,FALSE,7&,1,1.439,0.50083,1.4808,34910.6392,34915.6714,34937.6575,34938.1584,22  41
2,1,13,1,R,TRUE,6^,1,0.6195,0.50082,1.4775,34910.6392,34915.6714,34939.6608,34940.1616,21  41
2,1,14,1,H,FALSE,7&,1,0.71992,0.50083,1.4743,34910.6392,34915.6714,34941.6641,34942.1649,22  41
2,1,15,1,H,TRUE,7&,0,0.52324,0.50081,1.471,34910.6392,34915.6714,34943.6674,34944.1682,21  42
3,1,1,2,L,FALSE,7&,1,1.6689,0.50082,1.4764,34944.2204,34949.2432,34949.2432,34949.744,22  41
3,1,2,2,P,FALSE,7&,1,1.5938,0.50082,1.4731,34944.2204,34949.2432,34951.2465,34951.7473,22  41
3,1,3,2,L,TRUE,6^,1,0.61546,0.50083,1.4698,34944.2204,34949.2432,34953.2498,34953.7506,21  41
3,1,4,2,H,FALSE,7&,1,0.6035,0.50082,1.4665,34944.2204,34949.2432,34955.2531,34955.7539,22  41
3,1,5,2,G,FALSE,7&,1,0.91253,0.50082,1.4799,34944.2204,34949.2432,34957.2397,34957.7405,22  41
3,1,6,2,H,TRUE,6^,1,1.0124,0.50082,1.4766,34944.2204,34949.2432,34959.243,34959.7438,21  41
3,1,7,2,N,FALSE,7&,1,0.5125,0.50082,1.4734,34944.2204,34949.2432,34961.2463,34961.7471,22  41
3,1,8,2,W,FALSE,7&,1,0.65394,0.50082,1.4701,34944.2204,34949.2432,34963.2496,34963.7504,22  41
3,1,9,2,N,TRUE,7&,0,0.68269,0.5175,1.4668,34944.2204,34949.2432,34965.2362,34965.7537,21  42
3,1,10,2,T,FALSE,7&,1,0.9683,0.51752,1.4635,34944.2204,34949.2432,34967.2394,34967.757,22  41
3,1,11,2,N,TRUE,6^,1,0.94228,0.50082,1.4769,34944.2204,34949.2432,34969.2427,34969.7436,21  41
3,1,12,2,T,TRUE,7&,0,0.53016,0.50081,1.4736,34944.2204,34949.2432,34971.246,34971.7468,21  42
3,1,13,2,K,FALSE,7&,1,0.61495,0.50082,1.4703,34944.2204,34949.2432,34973.2493,34973.7501,22  41
3,1,14,2,V,FALSE,6^,0,0.56447,0.50082,1.467,34944.2204,34949.2432,34975.2526,34975.7534,22  42
3,1,15,2,Q,FALSE,7&,1,0.721,0.50081,1.4804,34944.2204,34949.2432,34977.2392,34977.74,22  41
4,1,1,1,S,FALSE,7&,1,1.0255,0.50082,1.4756,34977.9751,34982.9987,34982.9987,34983.4995,22  41
4,1,2,1,S,TRUE,6^,1,0.88736,0.50083,1.4723,34977.9751,34982.9987,34985.0019,34985.5028,21  41
4,1,3,1,G,FALSE,7&,1,0.44986,0.50082,1.469,34977.9751,34982.9987,34987.0052,34987.5061,22  41
4,1,4,1,N,FALSE,7&,1,0.93626,0.51752,1.4657,34977.9751,34982.9987,34988.9918,34989.5094,22  41
4,1,5,1,J,FALSE,7&,1,0.78136,0.50082,1.4791,34977.9751,34982.9987,34990.9951,34991.496,22  41
4,1,6,1,J,TRUE,6^,1,0.63389,0.50082,1.4758,34977.9751,34982.9987,34992.9984,34993.4992,21  41
4,1,7,1,Z,FALSE,7&,1,0.34993,0.50083,1.4725,34977.9751,34982.9987,34995.0017,34995.5025,22  41
4,1,8,1,L,FALSE,7&,1,0.43379,0.50083,1.4692,34977.9751,34982.9987,34997.005,34997.5058,22  41
